,DBUID,dbpop,A_21,A_20,area,lim,lico,vismin,pop,immig,no_car_rate
1920,35200855040,0.0,14.47785306560316,14.154647058866745,28881.854623867126,0.0,0.0,0.0,1242.0,0.0,0.0
1921,35200855041,0.0,15.496931253229047,16.23305280824676,12445.439986878277,0.0,0.0,0.0,1242.0,0.0,0.0
1922,35200855042,5.0,15.667921338305153,15.806109072364993,19075.4124663515,0.8454106280193237,0.7246376811594203,2.254428341384863,1242.0,0.644122383252818,1.58135362090002
1923,35200859002,5.0,21.100319735603623,20.705090590457253,11989.417274693866,1.934984520123839,1.4705882352941178,3.637770897832817,323.0,0.30959752321981426,3.338715752189695
1924,35200859003,257.0,20.53365022518601,20.36128399395888,4819.081028557639,99.45820433436532,75.58823529411765,186.9814241486068,323.0,15.913312693498453,171.6099896625503
1925,35200859005,0.0,20.316128567260076,20.07131272637865,2129.497652565824,0.0,0.0,0.0,323.0,0.0,0.0
1926,35200859007,0.0,20.619999999999997,20.229999999999997,1286.7359848163078,0.0,0.0,0.0,323.0,0.0,0.0
1927,35200859008,0.0,20.619999999999994,20.229999999999993,1973.2455942332188,0.0,0.0,0.0,323.0,0.0,0.0
1928,35200859009,0.0,20.800055652811558,20.438238276729905,2123.3642238976777,0.0,0.0,0.0,323.0,0.0,0.0
1929,35200859010,61.0,20.72906725348955,20.29583880281563,5062.261732606263,23.606811145510836,17.941176470588236,44.38080495356037,323.0,3.777089783281734,40.73233217671428
1930,35200860002,409.0,20.598388652480516,19.862847620711786,13353.044085262629,152.17362924281986,128.1462140992167,269.64099216710184,766.0,34.70626631853786,273.10694852911706
1931,35200860003,357.0,19.82179914235572,19.505424901284773,15122.915037112038,132.82637075718014,111.8537859007833,235.3590078328982,766.0,30.29373368146214,238.3843047063442
1932,35200861002,81.0,18.397489949217906,18.36701470078249,6420.701639758368,20.019011406844108,20.019011406844108,30.02851711026616,526.0,12.319391634980988,54.08719518547306
1933,35200861003,445.0,19.50367954505354,18.10246786991406,54663.08194397141,109.9809885931559,109.9809885931559,164.97148288973384,526.0,67.68060836501901,297.14570194488283
1934,35200862001,167.0,16.708247698902117,16.499753587969032,15318.117297987177,35.31094527363184,35.31094527363184,64.3905472636816,402.0,14.539800995024876,111.51310612313581
1935,35200862002,235.0,18.430918394386772,18.19786028318304,19232.918706710443,49.68905472636816,49.68905472636816,90.6094527363184,402.0,20.460199004975124,156.91964035291565
1936,35200863001,122.0,17.56254271717123,17.183896161840828,6993.874516131056,53.43065693430657,62.33576642335766,54.91484184914842,411.0,14.841849148418492,81.46466435342856
1937,35200863002,148.0,14.88386637856162,14.581812533818871,17013.517806500677,64.81751824817518,75.62043795620438,66.61800486618004,411.0,18.004866180048662,98.82598626481497
1938,35200863003,141.0,13.479507890238967,13.233364110888324,9272.949812743302,61.75182481751825,72.04379562043796,63.46715328467153,411.0,17.153284671532848,94.1517842117494
1939,35200864013,0.0,13.825140592606505,13.313879508583073,958.7682029394733,0.0,0.0,0.0,406.0,0.0,0.0
1940,35200864014,76.0,13.426041170485936,13.11142688263242,9668.529612491417,18.7192118226601,19.655172413793103,60.83743842364532,406.0,10.295566502463053,50.748479433283364
1941,35200864015,137.0,15.002004482019544,14.096231756255289,17867.379425945295,33.74384236453202,35.43103448275862,109.66748768472907,406.0,18.559113300492612,91.48081160999764
1942,35200864016,110.0,16.360166381731997,15.344418995077362,15540.31532624071,27.0935960591133,28.448275862068964,88.05418719211822,406.0,14.901477832512315,73.45174654817329
1943,35200864017,52.0,17.55097175057637,17.74905132632887,18423.525392885516,12.807881773399014,13.448275862068966,41.6256157635468,406.0,7.044334975369458,34.722643822772824
1944,35200864018,31.0,18.043060452389277,18.498090691609473,18815.25744608442,7.635467980295567,8.017241379310345,24.81527093596059,406.0,4.199507389162561,20.700037663576108
1945,35200865006,687.0,16.43839345575052,16.267810209583125,32216.282123531364,205.0,225.0,700.0,687.0,135.0,397.8270229803284
1946,35200866002,72.0,13.592715147005183,13.237506055245893,2534.5410747149626,22.293577981651374,15.688073394495413,47.88990825688074,436.0,2.477064220183486,41.69366179706499
1947,35200866003,129.0,15.231617988170814,14.456532250389087,8625.763994140962,39.94266055045872,28.107798165137616,85.80275229357798,436.0,4.4380733944954125,74.70114405307477
1948,35200866005,98.0,15.966738355149701,15.679383597260312,8358.08720707847,30.344036697247706,21.353211009174313,65.18348623853211,436.0,3.371559633027523,56.74970633489401
1949,35200866006,137.0,17.27711417388707,17.756712027957516,18254.788648032452,42.419724770642205,29.85091743119266,91.12385321100918,436.0,4.713302752293578,79.33377314163755
1950,35200867002,177.0,11.900497424923838,11.72265763092993,5272.851141359303,109.67133620689656,90.59806034482759,148.77155172413794,928.0,6.675646551724138,102.49691858445142
1951,35200867005,675.0,13.624298802131428,13.495191662390893,25317.20807593398,418.2381465517241,345.5010775862069,567.3491379310345,928.0,25.457974137931036,390.87807934748423
1952,35200867006,76.0,16.282464542899678,16.690967406300675,4353.003781115686,47.09051724137931,38.900862068965516,63.87931034482759,928.0,2.8663793103448274,44.00997634134637
1953,35200868001,303.0,17.10545030942396,17.948318712238596,14321.398947157215,122.23716381418093,118.53300733496333,166.68704156479217,409.0,0.0,175.46082672931516
1954,35200868002,23.0,17.080987549167325,17.73700969457394,7392.775424112326,9.278728606356967,8.99755501222494,12.65281173594132,409.0,0.0,13.318808629617982
1955,35200868003,83.0,15.834921349802382,16.133340622948207,11298.23995035014,33.484107579462105,32.469437652811735,45.660146699266505,409.0,0.0,48.063526793838804
1956,35200869001,284.0,14.508685979884277,14.636482312622427,13472.472044780328,68.5369532428356,77.10407239819004,167.05882352941177,663.0,27.84313725490196,164.45833264397857
