,j,pop_2020,pop_2021,lim_2020,lim_2021,lico_2020,lico_2021,vismin_2020,vismin_2021,immig_2020,immig_2021,nocar_2020,nocar_2021,pop_2020_p,pop_2021_p,lim_2020_p,lim_2021_p,lico_2020_p,lico_2021_p,immig_2020_p,immig_2021_p,vismin_2020_p,vismin_2021_p,nocar_2020_p,nocar_2021_p
48,48,2730782.0,2730782.0,541798.0159360401,541798.0159360401,467767.837354941,467767.837354941,1385650.3595986206,1385650.3595986206,281662.2974607011,281662.2974607011,703260.3627043939,703260.3627043939,0.9997111552289872,0.9997111552289872,0.9998302532544228,0.9998302532544228,0.9998564394603703,0.9998564394603703,0.9999726540302528,0.9999726540302528,0.9999064495075849,0.9999064495075849,0.9995962041708442,0.9995962041708442
49,49,2730782.0,2730782.0,541798.0159360401,541798.0159360401,467767.837354941,467767.837354941,1385650.3595986206,1385650.3595986206,281662.2974607011,281662.2974607011,703260.3627043939,703260.3627043939,0.9997111552289872,0.9997111552289872,0.9998302532544228,0.9998302532544228,0.9998564394603703,0.9998564394603703,0.9999726540302528,0.9999726540302528,0.9999064495075849,0.9999064495075849,0.9995962041708442,0.9995962041708442
50,50,2730782.0,2730782.0,541798.0159360401,541798.0159360401,467767.837354941,467767.837354941,1385650.3595986206,1385650.3595986206,281662.2974607011,281662.2974607011,703260.3627043939,703260.3627043939,0.9997111552289872,0.9997111552289872,0.9998302532544228,0.9998302532544228,0.9998564394603703,0.9998564394603703,0.9999726540302528,0.9999726540302528,0.9999064495075849,0.9999064495075849,0.9995962041708442,0.9995962041708442
51,51,2730782.0,2730787.0,541798.0159360401,541798.4693822311,467767.837354941,467768.0791929096,1385650.3595986206,1385654.1080871332,281662.2974607011,281662.7206771461,703260.3627043939,703260.4476202421,0.9997111552289872,0.9997129856774728,0.9998302532544228,0.9998310900408389,0.9998564394603703,0.9998569563904174,0.9999726540302528,0.9999741565560633,0.9999064495075849,0.9999091544741111,0.9995962041708442,0.9995963248680483
52,52,2730891.0,2730896.0,541810.4972793238,541810.9507255148,467778.3485489708,467778.5903869394,1385702.2775090684,1385706.025997581,281662.2974607011,281662.7206771461,703276.3115262317,703276.3964420799,0.9997510590059713,0.9997528894544568,0.9998532862376549,0.9998541230240711,0.9998789071979911,0.9998794241280382,0.9999726540302528,0.9999741565560633,0.9999439142642186,0.9999466192307447,0.9996188734162837,0.9996189941134879
53,53,2730891.0,2730896.0,541810.4972793238,541810.9507255148,467778.3485489708,467778.5903869394,1385702.2775090684,1385706.025997581,281662.2974607011,281662.7206771461,703276.3115262317,703276.3964420799,0.9997510590059713,0.9997528894544568,0.9998532862376549,0.9998541230240711,0.9998789071979911,0.9998794241280382,0.9999726540302528,0.9999741565560633,0.9999439142642186,0.9999466192307447,0.9996188734162837,0.9996189941134879
54,54,2730891.0,2730896.0,541810.4972793238,541810.9507255148,467778.3485489708,467778.5903869394,1385702.2775090684,1385706.025997581,281662.2974607011,281662.7206771461,703276.3115262317,703276.3964420799,0.9997510590059713,0.9997528894544568,0.9998532862376549,0.9998541230240711,0.9998789071979911,0.9998794241280382,0.9999726540302528,0.9999741565560633,0.9999439142642186,0.9999466192307447,0.9996188734162837,0.9996189941134879
55,55,2730896.0,2730896.0,541810.9507255148,541810.9507255148,467778.5903869394,467778.5903869394,1385706.025997581,1385706.025997581,281662.7206771461,281662.7206771461,703276.3964420799,703276.3964420799,0.9997528894544568,0.9997528894544568,0.9998541230240711,0.9998541230240711,0.9998794241280382,0.9998794241280382,0.9999741565560633,0.9999741565560633,0.9999466192307447,0.9999466192307447,0.9996189941134879,0.9996189941134879
56,56,2730896.0,2730896.0,541810.9507255148,541810.9507255148,467778.5903869394,467778.5903869394,1385706.025997581,1385706.025997581,281662.7206771461,281662.7206771461,703276.3964420799,703276.3964420799,0.9997528894544568,0.9997528894544568,0.9998541230240711,0.9998541230240711,0.9998794241280382,0.9998794241280382,0.9999741565560633,0.9999741565560633,0.9999466192307447,0.9999466192307447,0.9996189941134879,0.9996189941134879
57,57,2730896.0,2730906.0,541810.9507255148,541811.8576178969,467778.5903869394,467779.0740628765,1385706.025997581,1385713.5229746064,281662.7206771461,281663.56711003603,703276.3964420799,703276.5662737763,0.9997528894544568,0.9997565503514279,0.9998541230240711,0.9998557965969033,0.9998794241280382,0.9998804579881323,0.9999741565560633,0.9999771616076837,0.9999466192307447,0.9999520291637972,0.9996189941134879,0.9996192355078961
58,58,2730896.0,2730906.0,541810.9507255148,541811.8576178969,467778.5903869394,467779.0740628765,1385706.025997581,1385713.5229746064,281662.7206771461,281663.56711003603,703276.3964420799,703276.5662737763,0.9997528894544568,0.9997565503514279,0.9998541230240711,0.9998557965969033,0.9998794241280382,0.9998804579881323,0.9999741565560633,0.9999771616076837,0.9999466192307447,0.9999520291637972,0.9996189941134879,0.9996192355078961
59,59,2730896.0,2730906.0,541810.9507255148,541811.8576178969,467778.5903869394,467779.0740628765,1385706.025997581,1385713.5229746064,281662.7206771461,281663.56711003603,703276.3964420799,703276.5662737763,0.9997528894544568,0.9997565503514279,0.9998541230240711,0.9998557965969033,0.9998794241280382,0.9998804579881323,0.9999741565560633,0.9999771616076837,0.9999466192307447,0.9999520291637972,0.9996189941134879,0.9996192355078961
60,60,2730956.0,2730956.0,541817.9060049937,541817.9060049937,467783.50954674755,467783.50954674755,1385714.3294262192,1385714.3294262192,281663.56711003603,281663.56711003603,703299.1973454803,703299.1973454803,0.9997748548362828,0.9997748548362828,0.9998669582479706,0.9998669582479706,0.9998899388603865,0.9998899388603865,0.9999771616076837,0.9999771616076837,0.9999526111115904,0.9999526111115904,0.9996514027315465,0.9996514027315465
61,61,2730991.0,2730991.0,541821.0801283311,541821.0801283311,467785.20241252746,467785.20241252746,1385740.568845808,1385740.568845808,281666.5296251509,281666.5296251509,703299.7917564176,703299.7917564176,0.9997876679756814,0.9997876679756814,0.9998728157528837,0.9998728157528837,0.9998935573707157,0.9998935573707157,0.9999876792883556,0.9999876792883556,0.9999715458772738,0.9999715458772738,0.9996522476119751,0.9996522476119751
62,62,2730991.0,2731027.0,541821.0801283311,541824.3449409066,467785.20241252746,467786.9436459011,1385740.568845808,1385767.5579630996,281666.5296251509,281669.5767835548,703299.7917564176,703300.4031505246,0.9997876679756814,0.999800847204777,0.9998728157528837,0.99987884061508,0.9998935573707157,0.9998972792670545,0.9999876792883556,0.9999984974741898,0.9999715458772738,0.9999910216362626,0.9996522476119751,0.9996531166318445
63,63,2731571.0,2731571.0,541890.0000000009,541890.0000000009,467834.99999999866,467834.99999999866,1385779.9999999995,1385779.9999999995,281669.99999999977,281669.99999999977,703544.4510193412,703544.4510193412,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
64,64,2731571.0,2731571.0,541890.0000000009,541890.0000000009,467834.99999999866,467834.99999999866,1385779.9999999995,1385779.9999999995,281669.99999999977,281669.99999999977,703544.4510193412,703544.4510193412,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
65,65,2731571.0,2731571.0,541890.0000000009,541890.0000000009,467834.99999999866,467834.99999999866,1385779.9999999995,1385779.9999999995,281669.99999999977,281669.99999999977,703544.4510193412,703544.4510193412,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
